"NIH Print Exchange (n=217), Printables (n=340), Thingiverse (n=754)"	Design Name
https://3dprint.nih.gov/discover/3dpx-003761	NMR holder
https://3dprint.nih.gov/discover/3dpx-003849	50 mL centrifuge adapter for PELCO R2 rotator
https://3dprint.nih.gov/discover/3dpx-003850	STAGE ADAPTER FOR DISSECTING SCOPE
https://3dprint.nih.gov/discover/3dpx-003925	gel comb 0.75 mm with larger pockets
https://3dprint.nih.gov/discover/3dpx-003962	Sieve
https://3dprint.nih.gov/discover/3dpx-003969	MOST - Recyclebot Material Feed Auger System
https://3dprint.nih.gov/discover/3dpx-003975	Dremel Stand - Benchtop Workstation
https://3dprint.nih.gov/discover/3dpx-004001	Glass Slide Dryer
https://3dprint.nih.gov/discover/3dpx-004041	Nutating Shaker Table Bed Extender
https://3dprint.nih.gov/discover/3dpx-004080	Automated Hummingbird Feeder
https://3dprint.nih.gov/discover/3dpx-004082	Soil Sieve
https://3dprint.nih.gov/discover/3dpx-004753	Towers Of Hanoi
https://3dprint.nih.gov/discover/3dpx-004768	3D Topographic Map
https://3dprint.nih.gov/discover/3dpx-004774	Safety Switch Cover - Hinged
https://3dprint.nih.gov/discover/3dpx-004890	Test Tube Rack for 15mm Tubes (16 slots)
https://3dprint.nih.gov/discover/3dpx-007481	1 ml Syringe Pipette
https://3dprint.nih.gov/discover/3dpx-007483	3 ml Syringe Pipette
https://3dprint.nih.gov/discover/3dpx-007484	5 ml Syringe Pipette
https://3dprint.nih.gov/discover/3dpx-007485	10 ml Syringe Pipette
https://3dprint.nih.gov/discover/3dpx-007859	Sample Box
https://3dprint.nih.gov/discover/3dpx-007972	Dual sided imaging chambers for whole mount samples
https://3dprint.nih.gov/discover/3dpx-008004	Open Source Nutating Mixer
https://3dprint.nih.gov/discover/3dpx-008207	Sample positioning device
https://3dprint.nih.gov/discover/3dpx-008211	3D Rotman Lens
https://3dprint.nih.gov/discover/3dpx-008229	Vacuum Ejector
https://3dprint.nih.gov/discover/3dpx-008323	Single wafer box for wafer quarters (v2)
https://3dprint.nih.gov/discover/3dpx-008535	50ml shaker rack
https://3dprint.nih.gov/discover/3dpx-008537	18 well western blot comb
https://3dprint.nih.gov/discover/3dpx-008569	Universal open-source printhead for 3D bioprinting
https://3dprint.nih.gov/discover/3dpx-008944	small test tube holder for freezing block
https://3dprint.nih.gov/discover/3dpx-008994	Universal Clip-On: Cyclone Sampler Holder
https://3dprint.nih.gov/discover/3dpx-009008	12 tube magnetic separator
https://3dprint.nih.gov/discover/3dpx-009009	12 tube separator with round edges
https://3dprint.nih.gov/discover/3dpx-009010	Flexure micropositioning device
https://3dprint.nih.gov/discover/3dpx-009013	Storage of Sample Boxes
https://3dprint.nih.gov/discover/3dpx-009261	analytical ultracentrifugation 1.75 mm and 1.5 mm pathlength centerpiece
https://3dprint.nih.gov/discover/3dpx-009288	Laboratory Rocker/Shaker/Mixer
https://3dprint.nih.gov/discover/3dpx-009402	General Bio Safety Cabinet 6’
https://3dprint.nih.gov/discover/3dpx-009621	Stackable Freezer Bin
https://3dprint.nih.gov/discover/3dpx-009765	microscope slide (25x75) with inset (22x22)
https://3dprint.nih.gov/discover/3dpx-009768	small slidebox
https://3dprint.nih.gov/discover/3dpx-009953	Cord/Wire Winder
https://3dprint.nih.gov/discover/3dpx-010031	3-D Printable Plastic Grinder
https://3dprint.nih.gov/discover/3dpx-010032	Wall Mounted Glassware Drying Rack
https://3dprint.nih.gov/discover/3dpx-010033	Custom PH Electrode Holder
https://3dprint.nih.gov/discover/3dpx-010034	Centrifuge apparatus
https://3dprint.nih.gov/discover/3dpx-010035	Test Tube Holder
https://3dprint.nih.gov/discover/3dpx-010038	Drying rack for small lab tools
https://3dprint.nih.gov/discover/3dpx-010041	Customizable Magnetic Test Tube Stand
https://3dprint.nih.gov/discover/3dpx-010083	10cm culture dish adapter plate
https://3dprint.nih.gov/discover/3dpx-010138	Glass Tilter Tester Appartus
https://3dprint.nih.gov/discover/3dpx-010255	Custom Test Tube Holder [3D Printable]
https://3dprint.nih.gov/discover/3dpx-010511	Stackable Freezer Bin
